row_idx,artist,track,matched_artist,matched_title,score,preview_url,audio_file,status,http_status,bytes,notes
0,A Thousand Horses,My Time's Comin',A Thousand Horses,My Time's Comin',100.0,"https://cdnt-preview.dzcdn.net/api/1/1/6/b/2/0/6b2085f5a3048d90b00a9cb366decbdf.mp3?hdnea=exp=1755470962~acl=/api/1/1/6/b/2/0/6b2085f5a3048d90b00a9cb366decbdf.mp3*~data=user_id=0,application_id=42~hmac=1bbb3d7f020feb0b63eceaf8ae0163f51f5f9d755623e0741c978ade1cae8a77",a_thousand_horses_my_time_s_comin_0.mp3,downloaded,200,479827,
1,Mark Mothersbaugh,House Tour,Mark Mothersbaugh,House Tour,100.0,"https://cdnt-preview.dzcdn.net/api/1/1/6/6/4/0/664e7fc2e51de875f135237068279d94.mp3?hdnea=exp=1755470963~acl=/api/1/1/6/6/4/0/664e7fc2e51de875f135237068279d94.mp3*~data=user_id=0,application_id=42~hmac=5b8781fe32096937ab0ae90fa78ecfe9ae73d27a092e9c1cf7d02e1b8ab431e4",mark_mothersbaugh_house_tour_1.mp3,downloaded,200,479827,
2,Unified Highway,We Can't Fall (Remix) [feat. J. Patz],Unified Highway,We Can't Fall (Remix) [feat. J. Patz],100.0,"https://cdnt-preview.dzcdn.net/api/1/1/5/c/c/0/5cc5e0336b2f728d509ac2e1775f8033.mp3?hdnea=exp=1755470964~acl=/api/1/1/5/c/c/0/5cc5e0336b2f728d509ac2e1775f8033.mp3*~data=user_id=0,application_id=42~hmac=0897e04096a878fce0803a8bbc011a9cc13745a30a77d7ce62bdf45159361d80",unified_highway_we_can_t_fall_remix_feat_j_patz_2.mp3,downloaded,200,479827,
3,Stooki Sound,Endz - Original Mix,SEGA,Dive Into Gravity,28.3,"https://cdnt-preview.dzcdn.net/api/1/1/f/b/a/0/fba6612ec2431f98583c26d90f0496ff.mp3?hdnea=exp=1755470966~acl=/api/1/1/f/b/a/0/fba6612ec2431f98583c26d90f0496ff.mp3*~data=user_id=0,application_id=42~hmac=8796769c0450b2412d0e7380df683a0805004834ec229094140b2c3177b94b7c",stooki_sound_endz_original_mix_3.mp3,downloaded,200,479827,
4,Bill Hicks,I Love My Job (Live),Bill Hicks,I Love My Job (Live),100.0,"https://cdnt-preview.dzcdn.net/api/1/1/d/d/9/0/dd9449cc7f9b52bd3b897278615ecafe.mp3?hdnea=exp=1755470967~acl=/api/1/1/d/d/9/0/dd9449cc7f9b52bd3b897278615ecafe.mp3*~data=user_id=0,application_id=42~hmac=40259e6df550d0ce0ed2bf73068960e41b306c50b069fe824d2754fd42da3d0f",bill_hicks_i_love_my_job_live_4.mp3,downloaded,200,479827,
5,Sugar Kane Music,How Much Is That Doggy In The Window?,Patti Page,How Much Is That Doggy In The Window,71.5,"https://cdnt-preview.dzcdn.net/api/1/1/a/5/7/0/a57bfee7835d7739024981246ff98aef.mp3?hdnea=exp=1755470969~acl=/api/1/1/a/5/7/0/a57bfee7835d7739024981246ff98aef.mp3*~data=user_id=0,application_id=42~hmac=f43a1bc24991ff6d6eb0bb4c6dc224da9335ed2e41b3988757b5f0090cccd9a3",sugar_kane_music_how_much_is_that_doggy_in_the_window_5.mp3,downloaded,200,479827,
6,Justin Timberlake,Morning Light,Justin Timberlake,Morning Light (feat. Alicia Keys),100.0,"https://cdnt-preview.dzcdn.net/api/1/1/2/e/2/0/2e2cae3ce831803244a79d5de696f457.mp3?hdnea=exp=1755470970~acl=/api/1/1/2/e/2/0/2e2cae3ce831803244a79d5de696f457.mp3*~data=user_id=0,application_id=42~hmac=acc4b1a893b634f623b8c3f2d3653751f22becb5c2eaf87639c3056e78b6b3b5",justin_timberlake_morning_light_6.mp3,downloaded,200,479827,
7,Lil Keke,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),Badbwoy BMC,Chunk Up The Deuce (feat. Paul Wall & UGK),64.2,"https://cdnt-preview.dzcdn.net/api/1/1/6/f/4/0/6f4f8d9f497ffc3eb4508602b2286f6a.mp3?hdnea=exp=1755470971~acl=/api/1/1/6/f/4/0/6f4f8d9f497ffc3eb4508602b2286f6a.mp3*~data=user_id=0,application_id=42~hmac=4e9109315f717aa9464742d75998144a01a05f94fc700956a01e8335ddaef251",lil_keke_chunk_up_the_deuce_feat_u_g_k_paul_wall_7.mp3,downloaded,200,479827,
8,Cole Swindell,Get Up,Cole Swindell,Get Up,100.0,"https://cdnt-preview.dzcdn.net/api/1/1/9/b/f/0/9bf8e2aa98adfc76e6bb39af9d769a4f.mp3?hdnea=exp=1755470972~acl=/api/1/1/9/b/f/0/9bf8e2aa98adfc76e6bb39af9d769a4f.mp3*~data=user_id=0,application_id=42~hmac=9667c6c3406bd2661095eb80e372a48ce9609156c13a3f5e711f460d8e880f6e",cole_swindell_get_up_8.mp3,downloaded,200,479827,
9,Hayden James,Something About You - ODESZA Remix,Hayden James,Something About You (ODESZA Remix),100.0,"https://cdnt-preview.dzcdn.net/api/1/1/6/5/0/0/650487611def010bf9890804375cef90.mp3?hdnea=exp=1755470973~acl=/api/1/1/6/5/0/0/650487611def010bf9890804375cef90.mp3*~data=user_id=0,application_id=42~hmac=f7cc8fbb349d501c9d9441c56c27709e0ec0cc0f06053fdba25e2a44e8e6f343",hayden_james_something_about_you_odesza_remix_9.mp3,downloaded,200,479827,
