genre,row_idx,artist,track,country,score,preview_url,audio_file,status,http_status,bytes,notes
A Capella,608,The Singers Unlimited,All the Things You Are,,0.0,,,not_found,,,
A Capella,641,Hyannis Sound,Heart of the Matter,,0.0,,,not_found,,,
A Capella,556,Glad,A Debtor to Mercy Alone,,0.0,,,not_found,,,
A Capella,597,The Singers Unlimited,"Here, There and Everywhere",,0.0,,,not_found,,,
A Capella,578,The Singers Unlimited,The Fool On the Hill,,0.0,,,not_found,,,
A Capella,669,The King's Singers,Cry Me a River,,0.0,,,not_found,,,
A Capella,621,The Singers Unlimited,I Don't Know Where I Stand,,0.0,,,not_found,,,
A Capella,562,MC6 A Cappella,Goodnight Sweetheart,,0.0,,,not_found,,,
A Capella,642,Hyannis Sound,Use Somebody,,0.0,,,not_found,,,
A Capella,625,The Singers Unlimited,Lost in the Stars,,0.0,,,not_found,,,
A Capella,570,MC6 A Cappella,Surfer Girl,,0.0,,,not_found,,,
A Capella,664,The King's Singers,I've Got You Under My Skin,,0.0,,,not_found,,,
A Capella,563,Peter Hollens,December Song (A Capella Bonus Track),,0.0,,,not_found,,,
A Capella,648,Hyannis Sound,"Ok, It's Alright With Me",,0.0,,,not_found,,,
A Capella,594,Glad,"All Glory, Laud and Honor",,0.0,,,not_found,,,
A Capella,583,Glad,O Sacred Head Now Wounded,,0.0,,,not_found,,,
A Capella,640,The UNCG Spartones,Something's Missing (A Capella) [Bonus Track],,0.0,,,not_found,,,
A Capella,552,MC6 A Cappella,For the Longest Time,,0.0,,,not_found,,,
A Capella,649,Hyannis Sound,I Still Haven't Found What I'm Looking for,,0.0,,,not_found,,,
A Capella,662,The King's Singers,Beyond the Sea,,0.0,,,not_found,,,
A Capella,616,The King's Singers,What Child Is This?,,0.0,,,not_found,,,
A Capella,592,Glad,Sing it A Cappella,,0.0,,,not_found,,,
A Capella,647,Hyannis Sound,Clarity,,0.0,,,not_found,,,
A Capella,605,Hyannis Sound,Part Time Lover,,0.0,,,not_found,,,
A Capella,596,The Singers Unlimited,Autumn in New York,,0.0,,,not_found,,,
A Capella,564,MC6 A Cappella,409/Little Deuce Coupe,,0.0,,,not_found,,,
A Capella,567,Peter Hollens,December Song [Bonus Track] - A Capella,,0.0,,,not_found,,,
A Capella,622,The Swingle Singers,The Christmas Song (Merry Christmas to You),,0.0,,,not_found,,,
A Capella,660,Tonic Sol-Fa,29 Ways to My Back Door,,0.0,,,not_found,,,
A Capella,576,Glad,Holy Holy Holy,,0.0,,,not_found,,,
A Capella,618,Hyannis Sound,Faithfully,,0.0,,,not_found,,,
A Capella,574,BYU Noteworthy,Star Wars: A Capella Strikes Back,,0.0,,,not_found,,,
A Capella,588,Glad,Blessed Be Your Name,,0.0,,,not_found,,,
A Capella,607,The Swingle Singers,Walking in the Air,,0.0,,,not_found,,,
A Capella,633,The Singers Unlimited,Anything Goes,,0.0,,,not_found,,,
A Capella,582,The Singers Unlimited,Emily,,0.0,,,not_found,,,
A Capella,614,The Singers Unlimited,More I Can Not Wish You,,0.0,,,not_found,,,
A Capella,624,The Singers Unlimited,April in Paris,,0.0,,,not_found,,,
A Capella,561,MC6 A Cappella,Sherry,,0.0,,,not_found,,,
A Capella,585,Glad,All Hail the Power of Jesus' Name,,0.0,,,not_found,,,
A Capella,666,The King's Singers,When I Fall in Love,,0.0,,,not_found,,,
A Capella,620,The Singers Unlimited,Yesterday,,0.0,,,not_found,,,
A Capella,580,The Singers Unlimited,Michelle,,0.0,,,not_found,,,
A Capella,599,Glad,Just As I Am,,0.0,,,not_found,,,
A Capella,636,The Singers Unlimited,Someone to Light Up My Life,,0.0,,,not_found,,,
A Capella,557,Glad,O Wondrous Love,,0.0,,,not_found,,,
A Capella,629,The Singers Unlimited,Love Is Here to Stay,,0.0,,,not_found,,,
A Capella,619,Hyannis Sound,Long Train Runnin',,0.0,,,not_found,,,
A Capella,591,The Singers Unlimited,Since You Asked,,0.0,,,not_found,,,
A Capella,601,Glad,"Rejoice, The Lord is King",,0.0,,,not_found,,,
A Capella,587,Glad,When I Survey the Wondrous Cross,,0.0,,,not_found,,,
A Capella,568,MC6 A Cappella,Since You've Been Gone,,0.0,,,not_found,,,
A Capella,617,The King's Singers,The Little Drummer Boy,,0.0,,,not_found,,,
A Capella,586,The Singers Unlimited,Both Sides Now,,0.0,,,not_found,,,
A Capella,637,The King's Singers,Winter Wonderland,,0.0,,,not_found,,,
A Capella,559,MC6 A Cappella,Runaround Sue,,0.0,,,not_found,,,
A Capella,595,Glad,"My Jesus, I Love Thee",,0.0,,,not_found,,,
A Capella,665,The King's Singers,Cheek to Cheek,,0.0,,,not_found,,,
A Capella,630,Glad,Alleluia,,0.0,,,not_found,,,
A Capella,579,The Singers Unlimited,Nature Boy,,0.0,,,not_found,,,
A Capella,571,Glad,Receive the Glory,,0.0,,,not_found,,,
A Capella,646,Hyannis Sound,Would You Go With Me,,0.0,,,not_found,,,
A Capella,656,The Singers Unlimited,Sometimes I Feel Like a Motherless Child,,0.0,,,not_found,,,
A Capella,577,Glad,In Christ Alone,,0.0,,,not_found,,,
A Capella,560,MC6 A Cappella,Teenager in Love,,0.0,,,not_found,,,
A Capella,565,MC6 A Cappella,In the Still of the Night,,0.0,,,not_found,,,
A Capella,635,The Singers Unlimited,"One More Time, Chuck Corea",,0.0,,,not_found,,,
A Capella,555,MC6 A Cappella,The Lion Sleeps Tonight,,0.0,,,not_found,,,
